category,make,model,trim,kbb_true_price,trim_url
COMPACT,Hyundai,Elantra,"SE 4-Cyl, 1.8 L Manual, 6-Spd","$16,580 - $17,479",https://www.kbb.com/hyundai/elantra/2016/se/?vehicleid=407356&intent=buy-new&category=sedan
COMPACT,Hyundai,Elantra,"Sport 4-Cyl, 2.0 L Manual, 6-Spd","$19,384 - $20,431",https://www.kbb.com/hyundai/elantra/2016/sport/?vehicleid=407358&intent=buy-new&category=sedan
COMPACT,Hyundai,Veloster,"Base 4-Cyl, 1.6 L Manual, 6-Spd (Black Interior w/Yellow Accent)","$17,639 - $18,387",https://www.kbb.com/hyundai/veloster/2016/base-style/?vehicleid=411982&intent=buy-new&category=coupe
COMPACT,Hyundai,Veloster,"Base 4-Cyl, 1.6 L Manual, 6-Spd (Black Interior)","$17,639 - $18,387",https://www.kbb.com/hyundai/veloster/2016/base-style/?vehicleid=412043&intent=buy-new&category=coupe
COMPACT,Hyundai,Veloster,"Turbo R-Spec 4-Cyl, Turbocharged, 1.6 L Manual, 6-Spd","$21,080 - $21,971",https://www.kbb.com/hyundai/veloster/2016/turbo-r-spec/?vehicleid=412044&intent=buy-new&category=coupe
COMPACT,Hyundai,Veloster,"Turbo 4-Cyl, Turbocharged, 1.6 L Manual, 6-Spd (Black Interior w/Orange Accent)","$21,948 - $22,878",https://www.kbb.com/hyundai/veloster/2016/turbo/?vehicleid=411980&intent=buy-new&category=coupe
COMPACT,Hyundai,Veloster,"Turbo 4-Cyl, Turbocharged, 1.6 L Manual, 6-Spd (Black Interior)","$21,948 - $22,878",https://www.kbb.com/hyundai/veloster/2016/turbo/?vehicleid=412047&intent=buy-new&category=coupe
COMPACT,Hyundai,Veloster,"Turbo Rally Edition 4-Cyl, Turbocharged, 1.6 L Manual, 6-Spd","$23,212 - $24,196",https://www.kbb.com/hyundai/veloster/2016/turbo-rally-edition/?vehicleid=412046&intent=buy-new&category=coupe
COMPACT,Kia,Rio,"Sedan LX Manual, 6-Spd","$13,520 - $14,364",https://www.kbb.com/kia/rio/2016/lx/?vehicleid=410875&intent=buy-new&category=sedan
COMPACT,Kia,Forte,"LX 4-Cyl, 1.8 L Manual, 6-Spd","$15,421 - $16,267",https://www.kbb.com/kia/forte/2016/lx/?vehicleid=410859&intent=buy-new&category=sedan
COMPACT,Kia,Soul,"Base 4-Cyl, 1.6 L Manual, 6-Spd","$15,587 - $16,302",https://www.kbb.com/kia/soul/2016/base-style/?vehicleid=412034&intent=buy-new&category=wagon
COMPACT,Mazda,MAZDA3,"Sedan i Sport 4-Cyl, SKYACTIV-G, 2.0 L Manual, 6-Spd SKYACTIV-MT","$17,247 - $18,113",https://www.kbb.com/mazda/mazda3/2016/i-sport/?vehicleid=410604&intent=buy-new&category=sedan
COMPACT,Mazda,MAZDA3,"Sedan i Sport 4-Cyl, SKYACTIV-G, 2.0 L Automatic, 6-Spd SKYACTIV-Drive w/Manual Mode","$18,220 - $19,135",https://www.kbb.com/mazda/mazda3/2016/i-sport/?vehicleid=410603&intent=buy-new&category=sedan
COMPACT,Mazda,MAZDA3,"Sedan i Touring 4-Cyl, SKYACTIV-G, 2.0 L Manual, 6-Spd SKYACTIV-MT","$19,314 - $20,281",https://www.kbb.com/mazda/mazda3/2016/i-touring/?vehicleid=410606&intent=buy-new&category=sedan
COMPACT,Mazda,MAZDA3,"Sedan i Touring 4-Cyl, SKYACTIV-G, 2.0 L Automatic, 6-Spd SKYACTIV-Drive w/Manual Mode","$20,286 - $21,301",https://www.kbb.com/mazda/mazda3/2016/i-touring/?vehicleid=410608&intent=buy-new&category=sedan
COMPACT,Mazda,MAZDA3,"Sedan i Grand Touring 4-Cyl, SKYACTIV-G, 2.0 L Manual, 6-Spd SKYACTIV-MT","$21,643 - $22,726",https://www.kbb.com/mazda/mazda3/2016/i-grand-touring/?vehicleid=410611&intent=buy-new&category=sedan
COMPACT,Mazda,MAZDA3,"Sedan i Grand Touring 4-Cyl, SKYACTIV-G, 2.0 L Automatic, 6-Spd SKYACTIV-Drive w/Manual Mode","$22,615 - $23,746",https://www.kbb.com/mazda/mazda3/2016/i-grand-touring/?vehicleid=410613&intent=buy-new&category=sedan
COMPACT,Mazda,MAZDA3,"Sedan s Grand Touring 4-Cyl, SKYACTIV-G, 2.5 L Manual, 6-Spd SKYACTIV-MT","$23,705 - $24,890",https://www.kbb.com/mazda/mazda3/2016/s-grand-touring/?vehicleid=410617&intent=buy-new&category=sedan
COMPACT,Mazda,MAZDA3,"Sedan s Grand Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual Mode","$24,677 - $25,912",https://www.kbb.com/mazda/mazda3/2016/s-grand-touring/?vehicleid=410618&intent=buy-new&category=sedan
COMPACT,Mazda,MAZDA3,"Sedan s Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual Mode","$23,906 - $25,091",https://www.kbb.com/mazda/mazda3/2016/s-touring/?vehicleid=410615&intent=buy-new&category=sedan
COMPACT,Mazda,MAZDA3,"Hatchback i Sport 4-Cyl, SKYACTIV-G, 2.0 L Manual, 6-Spd SKYACTIV-MT","$18,042 - $18,941",https://www.kbb.com/mazda/mazda3/2016/i-sport/?vehicleid=410601&intent=buy-new&category=hatchback
COMPACT,Mazda,MAZDA3,"Hatchback i Sport 4-Cyl, SKYACTIV-G, 2.0 L Automatic, 6-Spd SKYACTIV-Drive w/Manual Mode","$19,020 - $19,967",https://www.kbb.com/mazda/mazda3/2016/i-sport/?vehicleid=410602&intent=buy-new&category=hatchback
COMPACT,Mazda,MAZDA3,"Hatchback i Touring 4-Cyl, SKYACTIV-G, 2.0 L Manual, 6-Spd SKYACTIV-MT","$20,061 - $21,060",https://www.kbb.com/mazda/mazda3/2016/i-touring/?vehicleid=410607&intent=buy-new&category=hatchback
COMPACT,Mazda,MAZDA3,"Hatchback i Touring 4-Cyl, SKYACTIV-G, 2.0 L Automatic, 6-Spd SKYACTIV-Drive w/Manual Mode","$21,037 - $22,084",https://www.kbb.com/mazda/mazda3/2016/i-touring/?vehicleid=410605&intent=buy-new&category=hatchback
COMPACT,Mazda,MAZDA3,"Hatchback i Grand Touring 4-Cyl, SKYACTIV-G, 2.0 L Manual, 6-Spd SKYACTIV-MT","$22,451 - $23,564",https://www.kbb.com/mazda/mazda3/2016/i-grand-touring/?vehicleid=410609&intent=buy-new&category=hatchback
COMPACT,Mazda,MAZDA3,"Hatchback i Grand Touring 4-Cyl, SKYACTIV-G, 2.0 L Automatic, 6-Spd SKYACTIV-Drive w/Manual Mode","$23,429 - $24,592",https://www.kbb.com/mazda/mazda3/2016/i-grand-touring/?vehicleid=410610&intent=buy-new&category=hatchback
COMPACT,Mazda,MAZDA3,"Hatchback s Grand Touring 4-Cyl, SKYACTIV-G, 2.5 L Manual, 6-Spd SKYACTIV-MT","$24,519 - $25,736",https://www.kbb.com/mazda/mazda3/2016/s-grand-touring/?vehicleid=410616&intent=buy-new&category=hatchback
COMPACT,Mazda,MAZDA3,"Hatchback s Grand Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual Mode","$25,499 - $26,764",https://www.kbb.com/mazda/mazda3/2016/s-grand-touring/?vehicleid=410612&intent=buy-new&category=hatchback
COMPACT,Mazda,MAZDA3,"Hatchback s Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual Mode","$24,564 - $25,783",https://www.kbb.com/mazda/mazda3/2016/s-touring/?vehicleid=410614&intent=buy-new&category=hatchback
COMPACT,Mini,Countryman,,,
COMPACT,Mitsubishi,Mirage,,,
COMPACT,Mitsubishi,Lancer,"ES 4-Cyl, 2.0 L Manual, 5-Spd Front-Wheel Drive","$17,023 - $17,875",https://www.kbb.com/mitsubishi/lancer/2016/es/?vehicleid=412277&intent=buy-new&category=sedan
COMPACT,Mitsubishi,Lancer,"GT 4-Cyl, 2.4 L Manual, 5-Spd Front-Wheel Drive","$21,588 - $22,667",https://www.kbb.com/mitsubishi/lancer/2016/gt/?vehicleid=412214&intent=buy-new&category=sedan
COMPACT,Nissan,Versa,"S Manual, 5-Spd","$11,427 - $12,236",https://www.kbb.com/nissan/versa/2016/s/?vehicleid=411678&intent=buy-new&category=sedan
COMPACT,Nissan,Versa Note,"S Manual, 5-Spd","$13,715 - $14,514",https://www.kbb.com/nissan/versa-note/2016/s/?vehicleid=411947&intent=buy-new&category=hatchback
COMPACT,Nissan,Sentra,"S Manual, 6-Spd","$16,055 - $16,994",https://www.kbb.com/nissan/sentra/2016/s/?vehicleid=414591&intent=buy-new&category=sedan
COMPACT,Scion,xB,,,
COMPACT,Scion,tC,"Manual, 6-Spd","$18,286 - $19,401",https://www.kbb.com/scion/tc/2016/base-style/?vehicleid=412165&intent=buy-new&category=coupe
COMPACT,Subaru,Impreza,"Sedan 2.0i Manual, 5-Spd","$17,714 - $18,571",https://www.kbb.com/subaru/impreza/2016/20i/?vehicleid=412254&intent=buy-new&category=sedan
COMPACT,Subaru,Impreza,"Sedan 2.0i Automatic, CVT w/Manual Mode","$18,642 - $19,543",https://www.kbb.com/subaru/impreza/2016/20i/?vehicleid=412271&intent=buy-new&category=sedan
COMPACT,Subaru,Impreza,"Sedan 2.0i Premium Automatic, CVT w/Manual Mode","$20,451 - $21,436",https://www.kbb.com/subaru/impreza/2016/20i-premium/?vehicleid=412270&intent=buy-new&category=sedan
COMPACT,Subaru,Impreza,"Sedan 2.0i Limited Automatic, CVT w/Manual Mode","$21,743 - $22,794",https://www.kbb.com/subaru/impreza/2016/20i-limited/?vehicleid=412273&intent=buy-new&category=sedan
